	input	translation
263663	Q71DI3	R-HSA-427359
263664	Q71DI3	R-HSA-427389
263665	Q71DI3	R-HSA-427413
263666	Q71DI3	R-HSA-427413
263667	Q71DI3	R-HSA-5250924
263668	Q71DI3	R-HSA-5334118
263669	Q71DI3	R-HSA-5578749
263670	Q71DI3	R-HSA-5617472
263671	Q71DI3	R-HSA-5625886
263672	Q71DI3	R-HSA-68616
263673	Q71DI3	R-HSA-73728
263674	Q71DI3	R-HSA-73772
263675	Q71DI3	R-HSA-8936459
263676	Q71DI3	R-HSA-8939236
263677	Q71DI3	R-HSA-9018519
263678	Q71DI3	R-HSA-912446
263679	Q71DI3	R-HSA-9609690
263680	Q71DI3	R-HSA-9610379
263681	Q71DI3	R-HSA-9616222
263682	Q71DI3	R-HSA-9710421
263683	Q71DI3	R-HSA-977225
263684	Q71DI3	R-HSA-983231
263685	Q71F23	R-HSA-141444
263686	Q71F23	R-HSA-2467813
263687	Q71F23	R-HSA-2500257
263688	Q71F23	R-HSA-5663220
263689	Q71F23	R-HSA-606279
263690	Q71F23	R-HSA-68877
263691	Q71F23	R-HSA-9648025
263694	Q71F56	R-HSA-1989781
263695	Q71F56	R-HSA-381340
263696	Q71F56	R-HSA-381340
263765	Q71RS6	R-HSA-425561
263766	Q71RS6	R-HSA-5619036
263773	Q71SY5	R-HSA-1989781
263774	Q71SY5	R-HSA-212436
263775	Q71SY5	R-HSA-381340
263776	Q71SY5	R-HSA-381340
263793	Q71U36	R-HSA-1445148
263794	Q71U36	R-HSA-190840
263795	Q71U36	R-HSA-190861
263796	Q71U36	R-HSA-2132295
263797	Q71U36	R-HSA-2467813
263798	Q71U36	R-HSA-2500257
263799	Q71U36	R-HSA-2565942
263800	Q71U36	R-HSA-3371497
263801	Q71U36	R-HSA-380259
263802	Q71U36	R-HSA-380270
263803	Q71U36	R-HSA-380284
263804	Q71U36	R-HSA-380320
263805	Q71U36	R-HSA-389957
263806	Q71U36	R-HSA-389960
263807	Q71U36	R-HSA-389977
263808	Q71U36	R-HSA-437239
263809	Q71U36	R-HSA-437239
263810	Q71U36	R-HSA-5610787
263811	Q71U36	R-HSA-5617833
263812	Q71U36	R-HSA-5620912
263813	Q71U36	R-HSA-5620924
263814	Q71U36	R-HSA-5626467
263815	Q71U36	R-HSA-5663220
263816	Q71U36	R-HSA-6807878
263817	Q71U36	R-HSA-6811434
263818	Q71U36	R-HSA-6811436
263819	Q71U36	R-HSA-68877
263820	Q71U36	R-HSA-8852276
