parent	child
R-HSA-1643685	R-HSA-9645723
R-HSA-1643685	R-HSA-9671793
R-HSA-1643685	R-HSA-9675126
R-HSA-1643685	R-HSA-9675132
R-HSA-1643685	R-HSA-9675135
R-HSA-1643685	R-HSA-9675143
R-HSA-1643685	R-HSA-9675151
R-HSA-1643713	R-HSA-5637812
R-HSA-1643713	R-HSA-5637815
R-HSA-1643713	R-HSA-5638302
R-HSA-164938	R-HSA-164939
R-HSA-164938	R-HSA-164940
R-HSA-164938	R-HSA-167590
R-HSA-164938	R-HSA-182218
R-HSA-164952	R-HSA-164938
R-HSA-164952	R-HSA-164944
R-HSA-1650814	R-HSA-8948216
R-HSA-165159	R-HSA-165181
R-HSA-165159	R-HSA-166208
R-HSA-165159	R-HSA-380972
R-HSA-1655829	R-HSA-2426168
R-HSA-166016	R-HSA-166020
R-HSA-166016	R-HSA-166058
R-HSA-166016	R-HSA-166166
R-HSA-166058	R-HSA-445989
R-HSA-166058	R-HSA-450294
R-HSA-166058	R-HSA-937039
R-HSA-166058	R-HSA-937042
R-HSA-166166	R-HSA-937061
R-HSA-166187	R-HSA-167826
R-HSA-166187	R-HSA-167827
R-HSA-166187	R-HSA-9673163
R-HSA-166520	R-HSA-187037
R-HSA-166520	R-HSA-9006115
R-HSA-166520	R-HSA-9034015
R-HSA-166520	R-HSA-9036866
R-HSA-166658	R-HSA-166663
R-HSA-166658	R-HSA-166665
R-HSA-166658	R-HSA-174577
R-HSA-166658	R-HSA-977606
R-HSA-166662	R-HSA-2855086
R-HSA-166663	R-HSA-166786
R-HSA-166663	R-HSA-173736
R-HSA-166786	R-HSA-166662
R-HSA-166786	R-HSA-173623
R-HSA-167044	R-HSA-171007
R-HSA-167169	R-HSA-167158
R-HSA-167169	R-HSA-167242
R-HSA-167169	R-HSA-167246
R-HSA-167172	R-HSA-167152
R-HSA-167172	R-HSA-167160
R-HSA-167172	R-HSA-167161
R-HSA-167172	R-HSA-167162
R-HSA-167172	R-HSA-167169
R-HSA-167172	R-HSA-167238
R-HSA-167172	R-HSA-167243
R-HSA-167172	R-HSA-167287
R-HSA-167172	R-HSA-167290
R-HSA-167246	R-HSA-167200
R-HSA-168138	R-HSA-975155
R-HSA-168142	R-HSA-975871
R-HSA-168164	R-HSA-168927
R-HSA-168164	R-HSA-445989
R-HSA-168164	R-HSA-450294
R-HSA-168164	R-HSA-9013957
R-HSA-168164	R-HSA-9013973
R-HSA-168164	R-HSA-9014325
R-HSA-168176	R-HSA-975871
R-HSA-168179	R-HSA-166058
R-HSA-168181	R-HSA-975155
R-HSA-168188	R-HSA-166058
R-HSA-168249	R-HSA-1222556
R-HSA-168249	R-HSA-166658
R-HSA-168249	R-HSA-168643
R-HSA-168249	R-HSA-168898
R-HSA-168249	R-HSA-168928
R-HSA-168249	R-HSA-1834949
R-HSA-168249	R-HSA-2029480
R-HSA-168249	R-HSA-2172127
R-HSA-168249	R-HSA-2454202
R-HSA-168249	R-HSA-5621481
R-HSA-168249	R-HSA-6798695
R-HSA-168249	R-HSA-6803157
R-HSA-168249	R-HSA-879415
R-HSA-168249	R-HSA-9645460
R-HSA-168255	R-HSA-168268
R-HSA-168255	R-HSA-168270
R-HSA-168255	R-HSA-168271
R-HSA-168255	R-HSA-168273
R-HSA-168255	R-HSA-168274
R-HSA-168255	R-HSA-168275
R-HSA-168255	R-HSA-168276
R-HSA-168255	R-HSA-168277
R-HSA-168256	R-HSA-1280215
R-HSA-168256	R-HSA-1280218
R-HSA-168256	R-HSA-168249
R-HSA-168268	R-HSA-168298
R-HSA-168268	R-HSA-168302
R-HSA-168268	R-HSA-168303
R-HSA-168268	R-HSA-168316
R-HSA-168270	R-HSA-168288
R-HSA-168270	R-HSA-168336
R-HSA-168273	R-HSA-168325
R-HSA-168273	R-HSA-192814
R-HSA-168273	R-HSA-192823
R-HSA-168273	R-HSA-192869
R-HSA-168273	R-HSA-192905
R-HSA-168274	R-HSA-168330
R-HSA-168274	R-HSA-168333
R-HSA-168276	R-HSA-168305
R-HSA-168276	R-HSA-168315
R-HSA-168276	R-HSA-169131
R-HSA-168305	R-HSA-168888
R-HSA-168316	R-HSA-168874
R-HSA-168643	R-HSA-168638
R-HSA-168643	R-HSA-622312
R-HSA-168799	R-HSA-5250955
R-HSA-168799	R-HSA-5250958
R-HSA-168799	R-HSA-5250968
R-HSA-168799	R-HSA-5250971
R-HSA-168799	R-HSA-5250981
R-HSA-168799	R-HSA-5250982
R-HSA-168799	R-HSA-5250989
R-HSA-168799	R-HSA-5250992
R-HSA-168898	R-HSA-166016
R-HSA-168898	R-HSA-1679131
R-HSA-168898	R-HSA-168138
R-HSA-168898	R-HSA-168142
R-HSA-168898	R-HSA-168164
R-HSA-168898	R-HSA-168176
R-HSA-168898	R-HSA-168181
R-HSA-168898	R-HSA-181438
R-HSA-168898	R-HSA-5686938
R-HSA-168928	R-HSA-918233
R-HSA-168928	R-HSA-933541
R-HSA-168928	R-HSA-933542
R-HSA-168928	R-HSA-933543
R-HSA-168928	R-HSA-936440
R-HSA-169893	R-HSA-170968
R-HSA-169893	R-HSA-170984
R-HSA-169911	R-HSA-211728
R-HSA-169911	R-HSA-211733
R-HSA-170834	R-HSA-2173789
R-HSA-170834	R-HSA-2173791
R-HSA-170834	R-HSA-2173793
R-HSA-174143	R-HSA-174084
R-HSA-174143	R-HSA-174178
R-HSA-174143	R-HSA-176407
R-HSA-174143	R-HSA-176408
R-HSA-174143	R-HSA-176814
R-HSA-174414	R-HSA-174437
R-HSA-174417	R-HSA-174411
R-HSA-174417	R-HSA-174414
R-HSA-174417	R-HSA-174430
R-HSA-174495	R-HSA-174490
R-HSA-174824	R-HSA-8963898
R-HSA-174824	R-HSA-8963899
R-HSA-174824	R-HSA-8964043
R-HSA-175474	R-HSA-171286
R-HSA-175474	R-HSA-174495
R-HSA-176033	R-HSA-180897
R-HSA-176033	R-HSA-180910
R-HSA-176408	R-HSA-141405
R-HSA-176408	R-HSA-174113
R-HSA-176408	R-HSA-176417
R-HSA-176409	R-HSA-174048
R-HSA-176409	R-HSA-174154
R-HSA-176409	R-HSA-179419
R-HSA-176814	R-HSA-176409
R-HSA-176814	R-HSA-176412
R-HSA-177243	R-HSA-165054
R-HSA-177243	R-HSA-180746
R-HSA-177929	R-HSA-179812
R-HSA-177929	R-HSA-180292
R-HSA-177929	R-HSA-180336
R-HSA-177929	R-HSA-182971
R-HSA-177929	R-HSA-212718
R-HSA-1793185	R-HSA-1971475
R-HSA-1793185	R-HSA-2022870
R-HSA-1793185	R-HSA-2022923
R-HSA-1793185	R-HSA-2024101
R-HSA-179419	R-HSA-174184
R-HSA-179419	R-HSA-179409
R-HSA-180786	R-HSA-171319
R-HSA-180786	R-HSA-174417
R-HSA-181431	R-HSA-622323
R-HSA-181431	R-HSA-622327
R-HSA-181438	R-HSA-168179
R-HSA-181438	R-HSA-168188
R-HSA-1834941	R-HSA-3249367
R-HSA-1834941	R-HSA-3270619
R-HSA-1834949	R-HSA-1606322
R-HSA-1834949	R-HSA-1834941
R-HSA-1834949	R-HSA-3134963
R-HSA-1834949	R-HSA-3134973
R-HSA-1834949	R-HSA-3134975
R-HSA-1839124	R-HSA-1839117
R-HSA-1839124	R-HSA-1839120
R-HSA-1839124	R-HSA-1839122
R-HSA-1839124	R-HSA-8853336
R-HSA-1839126	R-HSA-2023837
R-HSA-1839126	R-HSA-2033519
R-HSA-1839126	R-HSA-8851708
R-HSA-1839126	R-HSA-8853333
R-HSA-1852241	R-HSA-1592230
R-HSA-1852241	R-HSA-5617833
R-HSA-186712	R-HSA-210744
R-HSA-186712	R-HSA-210745
R-HSA-186712	R-HSA-210746
R-HSA-186712	R-HSA-210747
R-HSA-186797	R-HSA-186763
R-HSA-187015	R-HSA-187024
R-HSA-187015	R-HSA-187042
R-HSA-187037	R-HSA-167021
R-HSA-187037	R-HSA-177504
R-HSA-187037	R-HSA-187015
R-HSA-187037	R-HSA-187687
R-HSA-187037	R-HSA-198203
R-HSA-187037	R-HSA-198725
R-HSA-187037	R-HSA-198745
R-HSA-187037	R-HSA-198765
R-HSA-187687	R-HSA-167044
R-HSA-187687	R-HSA-169893
R-HSA-187687	R-HSA-187706
R-HSA-189445	R-HSA-189451
R-HSA-189445	R-HSA-189483
R-HSA-190236	R-HSA-5654736
R-HSA-190236	R-HSA-5654738
R-HSA-190236	R-HSA-5654741
R-HSA-190236	R-HSA-5654743
R-HSA-190239	R-HSA-190371
R-HSA-190239	R-HSA-190372
R-HSA-190241	R-HSA-190375
R-HSA-190241	R-HSA-190377
R-HSA-190242	R-HSA-190370
R-HSA-190242	R-HSA-190373
R-HSA-190242	R-HSA-190374
R-HSA-190322	R-HSA-1307965
R-HSA-190828	R-HSA-190861
R-HSA-190828	R-HSA-190873
R-HSA-190861	R-HSA-190704
R-HSA-190861	R-HSA-190827
R-HSA-190861	R-HSA-190872
R-HSA-190872	R-HSA-190840
R-HSA-190873	R-HSA-196025
R-HSA-1912422	R-HSA-1912399
R-HSA-1912422	R-HSA-1912408
R-HSA-1912422	R-HSA-1912420
R-HSA-191273	R-HSA-6807047
R-HSA-191273	R-HSA-6807062
R-HSA-192105	R-HSA-193368
R-HSA-192105	R-HSA-193775
R-HSA-192105	R-HSA-193807
R-HSA-193639	R-HSA-209543
R-HSA-193639	R-HSA-209560
R-HSA-193697	R-HSA-193634
R-HSA-193697	R-HSA-209563
R-HSA-193704	R-HSA-193639
R-HSA-193704	R-HSA-193670
R-HSA-193704	R-HSA-193681
R-HSA-193704	R-HSA-193692
R-HSA-193704	R-HSA-193697
R-HSA-193704	R-HSA-204998
R-HSA-193704	R-HSA-205017
R-HSA-194068	R-HSA-159418
R-HSA-194068	R-HSA-192105
R-HSA-194138	R-HSA-194306
R-HSA-194138	R-HSA-194313
R-HSA-194138	R-HSA-4420097
R-HSA-194313	R-HSA-195399
R-HSA-194315	R-HSA-195258
R-HSA-194315	R-HSA-9012999
R-HSA-194441	R-HSA-191859
R-HSA-195253	R-HSA-196299
R-HSA-195253	R-HSA-4641265
R-HSA-195258	R-HSA-5625740
R-HSA-195258	R-HSA-5625900
R-HSA-195258	R-HSA-5625970
R-HSA-195258	R-HSA-5626467
R-HSA-195258	R-HSA-5627083
R-HSA-195258	R-HSA-5627117
R-HSA-195258	R-HSA-5627123
R-HSA-195258	R-HSA-5663213
R-HSA-195258	R-HSA-5663220
R-HSA-195258	R-HSA-5666185
R-HSA-195258	R-HSA-5668599
R-HSA-195721	R-HSA-195253
R-HSA-195721	R-HSA-201681
R-HSA-195721	R-HSA-3238698
R-HSA-195721	R-HSA-3858494
R-HSA-196071	R-HSA-193048
R-HSA-196071	R-HSA-193144
R-HSA-196071	R-HSA-193993
R-HSA-196071	R-HSA-194002
R-HSA-196071	R-HSA-196108
R-HSA-196741	R-HSA-9758881
R-HSA-196741	R-HSA-9758890
R-HSA-196741	R-HSA-9759218
R-HSA-196807	R-HSA-197264
R-HSA-196849	R-HSA-196741
R-HSA-196849	R-HSA-196757
R-HSA-196849	R-HSA-196780
R-HSA-196849	R-HSA-196807
R-HSA-196849	R-HSA-196819
R-HSA-196849	R-HSA-196836
R-HSA-196849	R-HSA-196843
R-HSA-196849	R-HSA-199220
R-HSA-196849	R-HSA-947581
R-HSA-196849	R-HSA-964975
R-HSA-196854	R-HSA-196849
R-HSA-196854	R-HSA-6806667
R-HSA-196854	R-HSA-8978934
R-HSA-1980143	R-HSA-2122947
R-HSA-1980143	R-HSA-2122948
R-HSA-1980145	R-HSA-2197563
R-HSA-1980145	R-HSA-2979096
R-HSA-198725	R-HSA-198753
R-HSA-198725	R-HSA-199920
R-HSA-198725	R-HSA-9031628
R-HSA-198753	R-HSA-202670
R-HSA-199220	R-HSA-196783
R-HSA-199418	R-HSA-6811558
R-HSA-199977	R-HSA-204005
R-HSA-199977	R-HSA-5694530
R-HSA-199977	R-HSA-6807878
R-HSA-199991	R-HSA-1445148
R-HSA-199991	R-HSA-157858
R-HSA-199991	R-HSA-199977
R-HSA-199991	R-HSA-199992
R-HSA-199991	R-HSA-6811442
R-HSA-199991	R-HSA-8856828
R-HSA-199991	R-HSA-9007101
R-HSA-199991	R-HSA-917729
R-HSA-199992	R-HSA-432720
R-HSA-199992	R-HSA-432722
R-HSA-201556	R-HSA-9701898
R-HSA-201681	R-HSA-201688
R-HSA-201681	R-HSA-201722
R-HSA-201681	R-HSA-3769402
R-HSA-201681	R-HSA-3772470
R-HSA-201681	R-HSA-4641257
R-HSA-201681	R-HSA-4641258
